region_name,Shape *,SOURCE_ID,TFR,female_workers,foreigner_households,childcare_centers,population_density,net_migration_rate,local_population_growth,foreign_marriage_rate,Shape_Length,Shape_Area,Intercept,Std. Error (INTRCPT),Pseudo-T (INTRCPT),Significance (INTRCPT),Coefficient (FEMALE_WORKERS),Std. Error (FEMALE_WORKERS),Pseudo-T (FEMALE_WORKERS),Significance (FEMALE_WORKERS),Coefficient (FOREIGNER_HOUSEHOLDS),Std. Error (FOREIGNER_HOUSEHOLDS),Pseudo-T (FOREIGNER_HOUSEHOLDS),Significance (FOREIGNER_HOUSEHOLDS),Coefficient (CHILDCARE_CENTERS),Std. Error (CHILDCARE_CENTERS),Pseudo-T (CHILDCARE_CENTERS),Significance (CHILDCARE_CENTERS),Coefficient (POPULATION_DENSITY),Std. Error (POPULATION_DENSITY),Pseudo-T (POPULATION_DENSITY),Significance (POPULATION_DENSITY),Coefficient (NET_MIGRATION_RATE),Std. Error (NET_MIGRATION_RATE),Pseudo-T (NET_MIGRATION_RATE),Significance (NET_MIGRATION_RATE),Coefficient (LOCAL_POPULATION_GROWTH),Std. Error (LOCAL_POPULATION_GROWTH),Pseudo-T (LOCAL_POPULATION_GROWTH),Significance (LOCAL_POPULATION_GROWTH),Coefficient (FOREIGN_MARRIAGE_RATE),Std. Error (FOREIGN_MARRIAGE_RATE),Pseudo-T (FOREIGN_MARRIAGE_RATE),Significance (FOREIGN_MARRIAGE_RATE),Predicted (TFR),Residual,Std Residual,Influence,Cook's D,Condition Number,Local R-Squared,Number of Neighbors
Yecheon-gun,Polygon,38,0.917,14,298,18.3,40.251916,-2.330635,-0.006531,0.060606,184782.1257,913360294.1,1.340139,0.152866,8.76676,1,-0.000082,0.000233,-0.350468,0,-0.000003,0.00001,-0.314586,0,-0.023224,0.007794,-2.979776,1,-0.000085,0.000036,-2.371157,0,0.018667,0.024522,0.761222,0,-0.735439,4.645448,-0.158314,0,0.048783,1.122049,0.043477,0,0.873937,0.043063,0.354574,0.214335,0.000698,27304192.27,0.628686,63
Andong-si,Polygon,39,1.184,15,208,17.1,42.350693,0.515189,-0.000355,0.057432,137487.5782,650392030.2,1.332903,0.142371,9.362157,1,-0.000126,0.000229,-0.550443,0,-0.000002,0.000011,-0.194494,0,-0.023644,0.007785,-3.037094,1,-0.000075,0.000032,-2.304735,0,0.042183,0.026809,1.573466,0,-2.846517,4.600867,-0.618691,0,0.63254,1.075957,0.587886,0,0.98216,0.20184,1.707691,0.255877,0.020421,19327308.48,0.603098,63
Cheongsong-gun,Polygon,40,0.887,29,683,19.4,51.247087,-0.567173,0.006739,0.054223,211523.5758,1545833256,1.262041,0.141568,8.91475,1,-0.000046,0.000334,-0.136261,0,-0.000004,0.000014,-0.28132,0,-0.02029,0.007811,-2.597683,0,-0.000068,0.000036,-1.901479,0,0.055909,0.026962,2.073617,0,-3.059614,4.424692,-0.691486,0,0.952583,1.042393,0.913843,0,0.860272,0.026728,0.208787,0.127107,0.000129,16915161.05,0.573579,63
Yeongcheon-si,Polygon,41,1.334,1,114,19.4,16.528135,0.200014,-0.002778,0.142857,154102.1072,828098635.1,1.175186,0.151588,7.752482,1,0.00011,0.000517,0.212723,0,-0.000007,0.000017,-0.376718,0,-0.01939,0.008216,-2.360071,0,-0.00006,0.000021,-2.794901,1,0.05592,0.026833,2.08397,0,-0.423989,4.611175,-0.091948,0,1.771431,1.044738,1.695574,0,1.062824,0.271176,2.451549,0.348268,0.065403,20787097.66,0.59042,63
Uiseong-gun,Polygon,42,1.189,9.5,958,15.7,60.055494,-0.083673,0.010013,0.089219,144548.9478,913990984.9,1.113398,0.139502,7.981255,1,0.000235,0.00047,0.499543,0,-0.000012,0.000015,-0.785699,0,-0.020861,0.00821,-2.541106,0,-0.000056,0.000012,-4.635624,1,0.024425,0.02504,0.975465,0,4.842152,4.242554,1.141329,0,2.197647,0.980475,2.24141,0,1.016159,0.172841,1.370871,0.153265,0.006927,21858427.97,0.65034,63
Sangju-si,Polygon,43,1.406,9,252,13.5,25.189535,2.626311,0.016066,0.105023,194783.9218,1154029383,1.241839,0.13588,9.139261,1,0.000115,0.000348,0.33218,0,-0.000007,0.000014,-0.494448,0,-0.022564,0.007524,-2.998961,1,-0.000076,0.000035,-2.146685,0,0.041722,0.025703,1.623234,0,0.346676,4.307688,0.080478,0,1.35418,0.961186,1.408864,0,1.191975,0.214025,1.908813,0.330343,0.036603,18016553.39,0.611809,63
Gumi-si,Polygon,44,0.978,23,517,12.6,39.52168,0.020205,0.003609,0.079137,203203.4828,1259293723,1.381904,0.147868,9.34551,1,-0.00002,0.000226,-0.090067,0,-0.000004,0.00001,-0.367196,0,-0.02616,0.00693,-3.774961,1,-0.000101,0.000034,-2.994624,1,0.002807,0.024885,0.112816,0,1.719527,4.576349,0.375742,0,0.014442,0.970882,0.014875,0,1.05328,-0.07528,-0.609112,0.186385,0.001731,24124983.85,0.632915,63
Boeun-gun,Polygon,45,0.71,71,2397,19.8,304.965452,-1.339112,0.012734,0.046568,133702.7069,622700971.4,1.292801,0.139623,9.259227,1,0.000172,0.0003,0.57355,0,-0.000012,0.000013,-0.866366,0,-0.025406,0.007313,-3.474158,1,-0.000094,0.000034,-2.742498,1,0.012889,0.024557,0.524849,0,3.372515,4.242953,0.794851,0,0.971356,0.891523,1.089547,0,0.816518,-0.106518,-0.913263,0.275392,0.006455,17992406.78,0.633797,63
Cheongju-si,Polygon,46,0.856,12,176,13.5,28.893534,-0.148245,-0.005602,0.058394,118539.751,563222794.7,1.283901,0.161311,7.959153,1,0.000008,0.000226,0.033679,0,-0.000003,0.000008,-0.309877,0,-0.021006,0.006798,-3.089839,1,-0.000105,0.000042,-2.504649,0,-0.017233,0.025904,-0.665273,0,4.10017,4.941682,0.829711,0,-0.359124,1.141796,-0.314525,0,0.955531,-0.099531,-0.91948,0.375863,0.010368,42189833.33,0.581222,63
Jung-gu,Polygon,47,0.88,205,10978,17.7,424.407933,0.70911,0.013703,0.044501,157415.176,943295079.2,1.060311,0.164986,6.426657,1,0.000057,0.000226,0.254001,0,0,0.000006,0.024774,0,-0.01201,0.007374,-1.628703,0,-0.000081,0.000032,-2.531994,0,-0.022332,0.021407,-1.04318,0,5.089354,4.048461,1.257108,0,-0.100619,1.305901,-0.077049,0,0.876365,0.003635,0.031301,0.281549,0.000008,51665041.93,0.490712,63
Seo-gu,Polygon,48,0.79,25,2998,16.6,1857.499315,0.959509,0.022042,0.059798,71626.44802,139165988.5,1.250688,0.157418,7.945012,1,0.000031,0.000232,0.132046,0,-0.000003,0.000008,-0.429324,0,-0.023445,0.006725,-3.486272,1,-0.000112,0.000043,-2.573152,0,-0.030087,0.024608,-1.222657,0,6.492246,4.672624,1.389422,0,0.705905,1.053407,0.670116,0,0.801199,-0.011199,-0.096995,0.289865,0.000078,39529283.61,0.581763,63
Daedeok-gu,Polygon,49,0.655,1,762,15,2565.851006,1.123215,0.014153,0.048445,38065.97204,55762553.28,1.248459,0.159879,7.808757,1,0.000041,0.000236,0.174256,0,-0.000004,0.000008,-0.493271,0,-0.023891,0.006824,-3.500941,1,-0.000114,0.000045,-2.534326,0,-0.032248,0.025276,-1.275859,0,6.893193,4.804787,1.434651,0,0.879792,1.06077,0.82939,0,0.697504,-0.042504,-0.468324,0.561253,0.005714,39401902.03,0.580078,63
Yuseong-gu,Polygon,50,0.723,197,810,19.1,2279.741922,-2.647431,0.003537,0.036848,53807.18472,98895612.73,1.225784,0.161842,7.573959,1,0.000045,0.000236,0.191299,0,-0.000004,0.000008,-0.487611,0,-0.023433,0.006845,-3.423588,1,-0.000113,0.000045,-2.498111,0,-0.033186,0.025572,-1.297741,0,7.110708,4.868625,1.460517,0,1.055974,1.074177,0.983054,0,0.678929,0.044071,0.40017,0.353957,0.001787,40665214.06,0.578326,63
Cheonan-si,Polygon,51,0.833,142,1074,20.7,1162.031544,-3.069433,0.000685,0.05268,46863.8005,70376395.14,1.168035,0.165071,7.075936,1,0.00004,0.000228,0.173581,0,-0.000002,0.000007,-0.256132,0,-0.019962,0.006821,-2.926483,1,-0.000102,0.000041,-2.499621,0,-0.030731,0.025246,-1.217272,0,6.629564,4.787568,1.384746,0,0.7496,1.12776,0.66468,0,0.778538,0.054462,0.460281,0.254262,0.001471,46675014.63,0.560427,63
Jincheon-gun,Polygon,52,0.895,481,3351,16.2,948.887625,5.840484,0.040311,0.032974,73058.48176,174973919.8,1.1503,0.166338,6.915438,1,0.000046,0.00023,0.19884,0,-0.000002,0.000007,-0.279137,0,-0.020513,0.00685,-2.99479,1,-0.000101,0.000041,-2.483432,0,-0.032833,0.025161,-1.304922,0,7.117427,4.773125,1.491146,0,1.148311,1.118628,1.026535,0,0.870673,0.024327,0.283995,0.609141,0.00256,45292254.74,0.569158,63
Anseong-si,Polygon,53,0.767,128,11758,20,481.274738,-0.550229,0.011638,0.052152,143485.71,628647551.1,0.892395,0.18522,4.818032,1,0.00006,0.000229,0.261506,0,-0.000001,0.000004,-0.310612,0,-0.007315,0.010058,-0.727261,0,-0.000039,0.000013,-2.909049,1,-0.013093,0.016401,-0.798342,0,4.974142,3.372474,1.474924,0,0.748543,1.502673,0.498141,0,0.825668,-0.058668,-0.494575,0.250464,0.001665,66784953.97,0.657691,63
Yongin-si,Polygon,54,0.911,498,3185,15.1,104.75362,0.921616,0.008326,0.088608,96498.16744,405446457.1,0.986441,0.179945,5.481919,1,0.000061,0.000239,0.253627,0,-0.000001,0.000004,-0.198591,0,-0.010023,0.010017,-1.000628,0,-0.000042,0.000012,-3.430138,1,-0.011007,0.016161,-0.681064,0,4.232029,3.428544,1.234352,0,0.113232,1.524647,0.074268,0,0.893225,0.017775,0.306927,0.821356,0.00882,55686333.64,0.636999,63
Osan-si,Polygon,55,0.741,88.6,7106,25.1,164.490947,0.907433,0.011951,0.071932,131266.207,542334762.8,0.949147,0.209497,4.530607,1,0.000022,0.000289,0.077066,0,-0.000001,0.000004,-0.143276,0,-0.008521,0.011913,-0.715254,0,-0.000033,0.000008,-4.152983,1,-0.000955,0.016643,-0.057352,0,2.489645,3.57114,0.697157,0,0.331811,1.64486,0.201726,0,0.780606,-0.039606,-0.388429,0.446197,0.002476,63040749.19,0.750683,63
Pyeongtaek-si,Polygon,56,0.741,233,8114,17,735.44616,0.228327,0.007379,0.044339,148175.2386,596841792.3,0.910037,0.158176,5.753316,1,-0.000034,0.000202,-0.168377,0,0.000001,0.000003,0.374791,0,-0.003903,0.008502,-0.459006,0,-0.000031,0.000006,-4.972271,1,0.00609,0.014872,0.409473,0,0.729406,3.355604,0.217369,0,-0.520636,1.550028,-0.335888,0,0.806639,-0.065639,-0.521409,0.155872,0.001022,53154908.92,0.711987,63
Okcheon-gun,Polygon,57,0.69,52,7347,22.8,2448.124707,-0.338003,0.008546,0.076963,27938.43293,38738797.59,0.902271,0.158353,5.697855,1,-0.000061,0.000185,-0.329883,0,0.000001,0.000003,0.389643,0,-0.003293,0.008595,-0.383098,0,-0.000031,0.000006,-5.122124,1,0.00731,0.014468,0.505236,0,0.686585,3.309711,0.207446,0,-0.393712,1.558531,-0.252617,0,0.729489,-0.039489,-0.317936,0.178264,0.000447,59761097.11,0.71934,63
Gyeongsan-si,Polygon,58,0.92,123.7,12075,15.4,609.595905,4.233209,0.031224,0.078015,107538.6658,457453092.2,0.920806,0.178069,5.17106,1,-0.00008,0.000191,-0.418823,0,0,0.000003,-0.086069,0,-0.005754,0.010233,-0.562296,0,-0.000033,0.000007,-5.018337,1,0.000388,0.015047,0.025785,0,2.120903,3.453879,0.614064,0,0.41397,1.606811,0.257635,0,0.898674,0.021326,0.184241,0.286312,0.000277,74747033.02,0.7628,63
Cheongdo-gun,Polygon,59,0.754,13,257,17.1,46.904828,-0.287334,-0.000354,0.101382,115299.2407,544913774.5,1.324558,0.159695,8.294284,1,0.000023,0.000235,0.096453,0,-0.000004,0.000009,-0.391185,0,-0.025139,0.006935,-3.625029,1,-0.000114,0.000043,-2.672428,0,-0.024847,0.025339,-0.980587,0,5.475223,4.752522,1.152067,0,0.165878,1.045088,0.158722,0,0.910757,-0.156757,-1.210971,0.107444,0.003595,35174147.64,0.591772,63
Miryang-si,Polygon,60,0.807,60,6290,15.8,314.533908,-0.58717,0.014695,0.055869,103192.268,407273499.7,1.094698,0.136888,7.997038,1,0.000292,0.000448,0.652322,0,-0.000013,0.000014,-0.913996,0,-0.019546,0.007926,-2.466083,0,-0.000055,0.000012,-4.777862,1,0.013857,0.023802,0.582201,0,6.362896,4.065795,1.564982,0,1.771073,0.949362,1.86554,0,0.889685,-0.082685,-0.710107,0.2778,0.00395,20553626.62,0.654366,63
Gimhae-si,Polygon,61,0.909,13,197,13.6,33.936325,1.151966,0.003498,0.065217,155959.0415,696845014.6,1.07661,0.135226,7.961552,1,0.000336,0.00044,0.76434,0,-0.000013,0.000014,-0.946262,0,-0.018359,0.007696,-2.385725,0,-0.000054,0.000011,-4.706317,1,0.007191,0.022851,0.31467,0,7.07055,3.944235,1.792629,0,1.465939,0.933568,1.570255,0,0.955533,-0.046533,-0.374359,0.177023,0.000614,19953938.53,0.644411,63
Chilgok-gun,Polygon,62,0.741,21,1248,21.4,67.261429,0.256001,0.004322,0.082534,136923.8921,781234669.2,1.048685,0.137448,7.629672,1,0.00039,0.000448,0.871791,0,-0.000013,0.000014,-0.923648,0,-0.016561,0.007834,-2.114115,0,-0.000052,0.000011,-4.497808,1,0.003004,0.022635,0.132722,0,7.364775,3.877153,1.899532,0,1.165767,0.959397,1.215104,0,0.81202,-0.07102,-0.558278,0.137998,0.001016,20209916.27,0.621316,63
Dong-gu,Polygon,63,0.838,34,8499,19.2,501.857746,-0.421515,0.01419,0.055232,96882.68463,467076896.6,1.022218,0.136746,7.475282,1,0.000447,0.000464,0.963819,0,-0.000012,0.000014,-0.894891,0,-0.014664,0.007862,-1.865236,0,-0.000049,0.000011,-4.307977,1,0.0015,0.022587,0.06641,0,7.221679,3.819894,1.890544,0,0.897098,0.974796,0.920293,0,0.777608,0.060392,0.594174,0.449733,0.005876,20632026.43,0.589861,63
Goryeong-gun,Polygon,64,0.646,15,1400,24.7,121.200951,-2.6824,0.00248,0.092857,114827.0487,440946723,1.170906,0.148741,7.872138,1,0.000631,0.000547,1.153444,0,-0.000016,0.000017,-0.922975,0,-0.020269,0.008292,-2.444247,0,-0.000087,0.000034,-2.564917,0,0.03134,0.030657,1.022287,0,5.258707,4.48633,1.172162,0,1.201485,0.959644,1.252011,0,0.687591,-0.041591,-0.415302,0.465792,0.003063,20531754.52,0.642129,63
Seongju-gun,Polygon,66,1.038,9,481,17.9,44.01779,0.634436,0.015813,0.115385,132372.6885,386151694.7,1.139713,0.142015,8.025293,1,0.000662,0.000697,0.949266,0,-0.000022,0.000017,-1.314385,0,-0.018382,0.007485,-2.455785,0,-0.000082,0.000018,-4.661894,1,-0.001385,0.029874,-0.046352,0,9.503203,4.687408,2.02739,0,0.501307,0.976393,0.513427,0,1.00967,0.02833,0.255682,0.346031,0.000704,19583174.42,0.604791,63
Gimcheon-si,Polygon,67,1.169,9,547,12.9,39.256286,0.112224,0.005895,0.056522,122506.7206,607863336,1.278816,0.136153,9.392527,1,0.000481,0.000432,1.113842,0,-0.000021,0.000016,-1.254126,0,-0.026453,0.00703,-3.763024,1,-0.000115,0.000036,-3.167709,1,-0.021593,0.02644,-0.816697,0,9.067611,4.601015,1.970785,0,0.72096,0.906518,0.795308,0,1.01788,0.15112,1.228819,0.194408,0.007421,18264262.52,0.625916,63
Yeongdong-gun,Polygon,68,1.062,20,1055,16.3,68.760569,-1.455335,0.00126,0.070588,168984.9144,1002663880,1.375965,0.143388,9.596104,1,0.000204,0.000316,0.645856,0,-0.000014,0.000014,-1.013086,0,-0.029936,0.007271,-4.117253,1,-0.000118,0.000035,-3.399929,1,-0.026101,0.024199,-1.078628,0,7.44817,4.323221,1.722829,0,0.438702,0.890552,0.492618,0,0.947537,0.114463,0.894634,0.128052,0.002394,17243821.39,0.627227,63
Geumsan-gun,Polygon,69,0.866,1,352,20.1,27.820519,-0.653402,-0.003026,0.066667,144550.4296,838665436.3,1.405354,0.157284,8.935123,1,0.000056,0.000266,0.209892,0,-0.000006,0.000012,-0.4959,0,-0.029717,0.007418,-4.006011,1,-0.000121,0.000037,-3.237816,1,-0.027964,0.025065,-1.11568,0,6.404175,4.539908,1.41064,0,0.155652,0.960891,0.161987,0,0.811954,0.054046,0.43335,0.171492,0.000792,22975126.8,0.610567,63
Gongju-si,Polygon,70,0.703,11,1033,24.3,46.061005,2.473458,0.014591,0.114833,121506.6295,572024037.7,1.329764,0.155133,8.571792,1,0.000069,0.000265,0.261479,0,-0.000006,0.00001,-0.629641,0,-0.027379,0.006965,-3.930836,1,-0.000122,0.000045,-2.727595,1,-0.031614,0.024775,-1.276043,0,6.699941,4.633378,1.446016,0,0.798384,1.012384,0.788618,0,0.764386,-0.061386,-0.542022,0.316786,0.002774,30367760.04,0.591419,63
Asan-si,Polygon,71,0.817,20,858,20.8,61.375949,0.867613,0.011929,0.067762,157761.4526,867231545.3,0.955326,0.181518,5.262975,1,0.000082,0.000228,0.360258,0,0,0.000005,-0.074505,0,-0.014293,0.007422,-1.925634,0,-0.000071,0.000032,-2.194458,0,-0.031012,0.023319,-1.329917,0,7.343095,4.391186,1.672235,0,1.863404,1.185216,1.572206,0,0.841995,-0.024995,-0.193835,0.114288,0.000099,50077489.11,0.572421,63
Yesan-gun,Polygon,72,0.904,80,11612,19.9,292.914082,7.010333,0.045051,0.071303,101313.4327,541234545.9,0.883349,0.206442,4.278915,1,-0.000013,0.000211,-0.061184,0,-0.000002,0.000003,-0.611002,0,-0.008303,0.011116,-0.746903,0,-0.000035,0.000011,-3.277503,1,-0.019802,0.018395,-1.076524,0,6.272864,3.838808,1.634066,0,1.400966,1.562965,0.896352,0,0.926928,-0.022928,-0.219967,0.421305,0.000717,81918305.64,0.714618,63
Cheongyang-gun,Polygon,73,0.737,16,1019,14.7,74.042389,4.519816,0.01616,0.073529,125187.9863,530823818.4,0.776935,0.22603,3.437307,1,0.000029,0.000201,0.142342,0,-0.000002,0.000003,-0.620043,0,-0.006666,0.011225,-0.593835,0,-0.000038,0.000013,-2.915966,1,-0.031913,0.022663,-1.408142,0,8.758155,4.497752,1.947229,0,2.208605,1.625558,1.358676,0,0.834087,-0.097087,-0.994099,0.49194,0.019486,71153444.34,0.67062,63
Nonsan-si,Polygon,74,0.899,1,254,24.5,34.859287,1.997369,0.009356,0.1,108725.0941,465582314.3,0.934949,0.200085,4.672756,1,0.000093,0.000228,0.409342,0,-0.000001,0.000004,-0.219017,0,-0.01543,0.008016,-1.924817,0,-0.000068,0.000032,-2.098068,0,-0.032038,0.024899,-1.286713,0,7.698175,4.728872,1.627909,0,2.510939,1.230453,2.040663,0,0.813538,0.085462,0.753539,0.314854,0.005314,50210984.02,0.581063,63
Buyeo-gun,Polygon,75,0.868,20,1966,23.2,104.076548,-1.927213,-0.008411,0.079408,114317.2484,564161367.2,1.257061,0.157501,7.981307,1,0.000061,0.000247,0.247533,0,-0.000005,0.000008,-0.611044,0,-0.025492,0.00684,-3.726816,1,-0.000116,0.000047,-2.453456,0,-0.030934,0.025917,-1.193558,0,6.733013,4.933876,1.36465,0,1.330445,1.039643,1.279713,0,0.753887,0.114113,0.911346,0.16487,0.003339,36784850.45,0.585724,63
Changnyeong-gun,Polygon,76,0.73,12,431,21.3,52.306535,-1.07754,-0.008438,0.072243,137094.7761,627836412.5,1.174752,0.175502,6.693671,1,0.000062,0.000245,0.255332,0,-0.000002,0.000006,-0.390338,0,-0.023711,0.007259,-3.266637,1,-0.000098,0.000042,-2.312693,0,-0.027359,0.025659,-1.066258,0,6.315677,4.857921,1.300078,0,1.872186,1.102656,1.697888,0,0.775813,-0.045813,-0.375079,0.205342,0.00074,39481436.72,0.584667,63
Hapcheon-gun,Polygon,77,0.81,10,959,17.7,60.37021,-1.651731,-0.005311,0.141176,119068.256,521894021.2,1.053524,0.133991,7.862627,1,0.000469,0.000494,0.949212,0,-0.000016,0.000014,-1.125291,0,-0.015196,0.00748,-2.031613,0,-0.000055,0.000011,-4.773988,1,0.002153,0.022436,0.095975,0,7.954154,3.826387,2.078763,0,0.727261,0.927179,0.784381,0,0.827801,-0.017801,-0.1567,0.31259,0.000227,18537626.56,0.600437,63
Uiryeong-gun,Polygon,78,0.636,12.2,214,15,24.333198,-0.572288,-0.010172,0.127389,169027.0311,986784675.5,1.125226,0.131324,8.568335,1,0.00042,0.000671,0.626435,0,-0.000024,0.000017,-1.42571,0,-0.01796,0.00691,-2.59917,0,-0.000079,0.000017,-4.75431,1,-0.026387,0.025563,-1.032216,0,10.532155,4.467379,2.357569,0,0.49871,0.918933,0.542705,0,0.825372,-0.189372,-1.650259,0.298584,0.023609,17297035.41,0.572617,63
Haman-gun,Polygon,79,0.746,7.7,224,13.8,30.977934,-0.978356,-0.011591,0.065217,123044.928,481227952.4,1.021263,0.131593,7.760751,1,0.000611,0.000591,1.032983,0,-0.000019,0.000015,-1.288061,0,-0.012729,0.007373,-1.726463,0,-0.000056,0.000012,-4.729092,1,-0.001987,0.023238,-0.085529,0,8.40894,3.934113,2.137442,0,0.487688,0.924146,0.527717,0,0.780543,-0.034543,-0.289478,0.24155,0.000543,17605805.73,0.557668,63
Geochang-gun,Polygon,80,0.728,14,1076,28.9,73.516608,-2.041484,-0.007855,0.121569,108872.4807,405468508.4,0.991261,0.134876,7.349439,1,0.000653,0.000567,1.150523,0,-0.000017,0.000015,-1.1443,0,-0.011041,0.007761,-1.422508,0,-0.000051,0.000012,-4.415849,1,0.002999,0.023133,0.129636,0,7.577996,3.832103,1.977503,0,0.37312,0.965662,0.386388,0,0.63931,0.08869,0.948177,0.53396,0.020977,18957874.45,0.542603,63
Muju-gun,Polygon,81,1.02,17.2,219,17.5,38.691198,0.662701,0.00897,0.045752,147246.8839,793838289.2,1.25854,0.121307,10.374841,1,0.000268,0.000328,0.818078,0,-0.000024,0.000017,-1.451952,0,-0.025752,0.006216,-4.143037,1,-0.00012,0.000034,-3.564404,1,-0.04864,0.024211,-2.008998,0,11.04,4.365074,2.529167,0,0.864059,0.871984,0.990912,0,0.908918,0.111082,0.887503,0.165551,0.003182,14925995.23,0.602159,63
Hamyang-gun,Polygon,82,0.726,5,140,15.8,20.646636,0.707257,0.005877,0.121951,123233.8308,635489782.8,1.357522,0.143683,9.448067,1,0.000134,0.000329,0.406008,0,-0.00001,0.000015,-0.667692,0,-0.029661,0.007043,-4.211378,1,-0.000129,0.000038,-3.396473,1,-0.041576,0.02427,-1.713056,0,8.853551,4.403544,2.010551,0,0.744635,0.937024,0.794681,0,0.998914,-0.272914,-2.173615,0.160279,0.018365,18934526.95,0.60238,63
Sancheong-gun,Polygon,83,0.734,9,143,15.9,28.680999,-1.078389,-0.009057,0.047904,139542.4078,712854038.2,1.230412,0.122418,10.050928,1,0.000186,0.000411,0.453919,0,-0.000026,0.000024,-1.100216,0,-0.024758,0.006499,-3.809375,1,-0.000112,0.000035,-3.22382,1,-0.049309,0.022909,-2.152319,0,11.000338,4.045136,2.719399,1,1.263285,0.86856,1.454459,0,0.845545,-0.111545,-0.930482,0.234527,0.005402,11138635.26,0.601079,63
Jinju-si,Polygon,84,0.764,10.5,243,18.3,24.79703,1.171139,0.003218,0.071429,130742.6085,771750923.6,1.106246,0.124015,8.920245,1,0.00053,0.000823,0.644024,0,-0.000025,0.000019,-1.320218,0,-0.018536,0.006707,-2.763697,1,-0.000099,0.000041,-2.417339,0,-0.035083,0.023618,-1.485475,0,10.367623,4.109318,2.522955,0,1.08192,0.883769,1.22421,0,0.833576,-0.069576,-0.553193,0.157418,0.001164,11968082.38,0.585152,63
Jangsu-gun,Polygon,85,0.887,60,2028,16.8,224.198005,-1.171848,0.006334,0.050089,147470.7041,723177420,0.990905,0.129254,7.666365,1,0.000756,0.000608,1.241833,0,-0.00002,0.000016,-1.226667,0,-0.010989,0.007329,-1.499302,0,-0.000053,0.000012,-4.480095,1,0.004416,0.023701,0.186316,0,7.198548,3.920049,1.836341,0,0.573259,0.920176,0.622989,0,0.86926,0.01774,0.137589,0.114473,0.00005,15548946.66,0.560446,63
Jinan-gun,Polygon,86,1.125,6,148,16.4,21.691819,-0.840409,-0.005943,0.09375,125509.5461,523627498.4,1.310996,0.129363,10.134266,1,0.000165,0.000344,0.479107,0,-0.000024,0.00003,-0.813501,0,-0.028062,0.006732,-4.168725,1,-0.000122,0.000039,-3.139803,1,-0.044427,0.022256,-1.996168,0,9.470151,3.995246,2.370355,0,1.314548,0.894073,1.470293,0,0.949825,0.175175,1.338035,0.087029,0.003475,12579302.65,0.598607,63
Jeonju-si,Polygon,87,1.315,5,155,10.7,17.228792,1.559626,0.00592,0.152941,136822.8504,783791804.6,1.35651,0.131515,10.314505,1,0.000165,0.000335,0.491572,0,-0.000014,0.000018,-0.80927,0,-0.029381,0.006503,-4.518096,1,-0.000127,0.000042,-3.02973,1,-0.032874,0.021286,-1.544419,0,7.081599,3.897037,1.817175,0,1.14011,0.917707,1.242347,0,1.203558,0.111442,1.130216,0.482129,0.024218,17273652.4,0.597853,63
Wanju-gun,Polygon,88,0.691,156,4805,18.6,1441.745306,-2.547285,0.000516,0.04083,72988.7926,211363535.3,1.400995,0.134518,10.414903,1,0.000177,0.000326,0.541793,0,-0.000013,0.000014,-0.934284,0,-0.029947,0.006447,-4.645132,1,-0.000121,0.000046,-2.651444,0,-0.013678,0.021947,-0.623217,0,3.445218,4.118053,0.836613,0,1.05685,0.926208,1.141051,0,0.712005,-0.021005,-0.188831,0.340878,0.000376,17281744.66,0.593608,63
Iksan-si,Polygon,89,0.893,18,1291,20.6,59.19671,12.211214,0.07267,0.052342,216913.1171,821915863.5,1.367825,0.133648,10.234528,1,0.000144,0.000306,0.471971,0,-0.00001,0.000011,-0.890242,0,-0.029383,0.006437,-4.564918,1,-0.000123,0.000046,-2.702822,1,-0.022262,0.022181,-1.00367,0,5.013563,4.184359,1.198168,0,1.139056,0.935687,1.217347,0,0.896778,-0.003778,-0.058822,0.780315,0.00025,21478824.55,0.593951,63
Imsil-gun,Polygon,90,0.704,48,2337,21.7,256.591317,-1.500035,0.000992,0.052174,102047.6385,515209733.4,1.350995,0.142411,9.486592,1,0.000104,0.000274,0.377643,0,-0.000007,0.000009,-0.816401,0,-0.028855,0.006621,-4.358386,1,-0.000119,0.000047,-2.53277,0,-0.019722,0.023591,-0.836,0,4.593358,4.522922,1.015573,0,1.243412,0.973501,1.277257,0,0.781143,-0.077143,-0.612225,0.154301,0.001393,26365866.95,0.590943,63
Jeongeup-si,Polygon,91,1.285,5,126,14,24.993298,-1.253687,-0.005069,0.096,133047.2282,599112113,1.372708,0.137919,9.952973,1,0.000167,0.00035,0.477567,0,-0.00002,0.00003,-0.674443,0,-0.028418,0.006827,-4.162625,1,-0.000117,0.000045,-2.577968,0,-0.014787,0.023436,-0.63096,0,3.804856,4.183385,0.909516,0,1.182148,0.90584,1.30503,0,1.082944,0.202056,1.585028,0.1344,0.007944,11494564.41,0.588315,63
Namwon-si,Polygon,92,0.875,20,915,20.3,78.452564,-0.694267,0.003778,0.102389,130944.9926,695076263.9,1.414512,0.134934,10.482996,1,0.000096,0.00035,0.274685,0,-0.00002,0.00003,-0.669163,0,-0.027115,0.006556,-4.135719,1,-0.000099,0.000044,-2.259446,0,0.007525,0.024318,0.30945,0,-0.376437,4.390056,-0.085748,0,0.803913,0.909668,0.883744,0,0.915633,-0.040633,-0.316618,0.122738,0.000286,11921253.43,0.571786,63
